"customer_id","email","rental_id","amount"
198,"elsie.kelley@sakilacustomer.org",8831,"11.99"
119,"sherry.marshall@sakilacustomer.org",14759,"11.99"
438,"barry.lovelace@sakilacustomer.org",3973,"11.99"
61,"katherine.rivera@sakilacustomer.org",14759,"11.99"
329,"frank.waggoner@sakilacustomer.org",11479,"11.99"
520,"mitchell.westmoreland@sakilacustomer.org",11479,"11.99"
277,"olga.jimenez@sakilacustomer.org",11479,"11.99"
376,"randy.gaither@sakilacustomer.org",16040,"11.99"
93,"phyllis.foster@sakilacustomer.org",8831,"11.99"
521,"roland.south@sakilacustomer.org",14763,"11.99"
485,"clyde.tobias@sakilacustomer.org",11479,"11.99"
389,"alan.kahn@sakilacustomer.org",3973,"11.99"
41,"stephanie.mitchell@sakilacustomer.org",15415,"11.99"
9,"margaret.moore@sakilacustomer.org",3973,"11.99"
281,"leona.obrien@sakilacustomer.org",14759,"11.99"
510,"ben.easter@sakilacustomer.org",14759,"11.99"
378,"eugene.culpepper@sakilacustomer.org",11479,"11.99"
569,"dave.gardiner@sakilacustomer.org",14763,"11.99"
18,"carol.garcia@sakilacustomer.org",8831,"11.99"
306,"charles.kowalski@sakilacustomer.org",14763,"11.99"
71,"kathy.james@sakilacustomer.org",14759,"11.99"
8,"susan.wilson@sakilacustomer.org",15415,"11.99"
254,"maxine.silva@sakilacustomer.org",14759,"11.99"
531,"jamie.waugh@sakilacustomer.org",3973,"11.99"
401,"tony.carranza@sakilacustomer.org",16040,"11.99"
11,"lisa.anderson@sakilacustomer.org",3973,"11.99"
437,"randall.neumann@sakilacustomer.org",15415,"11.99"
344,"henry.billingsley@sakilacustomer.org",16040,"11.99"
86,"jacqueline.long@sakilacustomer.org",16040,"11.99"
101,"peggy.myers@sakilacustomer.org",8831,"11.99"
582,"andy.vanhorn@sakilacustomer.org",14763,"11.99"
467,"alvin.deloach@sakilacustomer.org",11479,"11.99"
16,"sandra.martin@sakilacustomer.org",14763,"11.99"
374,"jeremy.hurtado@sakilacustomer.org",3973,"11.99"
268,"nina.soto@sakilacustomer.org",8831,"11.99"
512,"cecil.vines@sakilacustomer.org",3973,"11.99"
42,"carolyn.perez@sakilacustomer.org",14759,"11.99"
394,"chris.brothers@sakilacustomer.org",14759,"11.99"
270,"leah.curtis@sakilacustomer.org",11479,"11.99"
177,"samantha.duncan@sakilacustomer.org",14763,"11.99"
395,"johnny.turpin@sakilacustomer.org",8831,"11.99"
442,"leroy.bustamante@sakilacustomer.org",4383,"11.99"
584,"salvador.teel@sakilacustomer.org",11479,"11.99"
241,"heidi.larson@sakilacustomer.org",4383,"11.99"
541,"darren.windham@sakilacustomer.org",4383,"11.99"
31,"brenda.wright@sakilacustomer.org",4383,"11.99"
183,"ida.andrews@sakilacustomer.org",11479,"11.99"
287,"becky.miles@sakilacustomer.org",16040,"11.99"
505,"rafael.abney@sakilacustomer.org",16040,"11.99"
239,"minnie.romero@sakilacustomer.org",14759,"11.99"
419,"chad.carbone@sakilacustomer.org",14763,"11.99"
316,"steven.curley@sakilacustomer.org",14759,"11.99"
392,"sean.douglass@sakilacustomer.org",8831,"11.99"
152,"alicia.mills@sakilacustomer.org",14759,"11.99"
59,"cheryl.murphy@sakilacustomer.org",8831,"11.99"
98,"lillian.griffin@sakilacustomer.org",11479,"11.99"
171,"dolores.wagner@sakilacustomer.org",14763,"11.99"
268,"nina.soto@sakilacustomer.org",14759,"11.99"
57,"evelyn.morgan@sakilacustomer.org",16040,"11.99"
30,"melissa.king@sakilacustomer.org",15415,"11.99"
34,"rebecca.scott@sakilacustomer.org",11479,"11.99"
97,"annie.russell@sakilacustomer.org",8831,"11.99"
365,"bruce.schwarz@sakilacustomer.org",15415,"11.99"
472,"greg.robins@sakilacustomer.org",14759,"11.99"
122,"thelma.murray@sakilacustomer.org",16040,"11.99"
396,"earl.shanks@sakilacustomer.org",16040,"11.99"
396,"earl.shanks@sakilacustomer.org",14763,"11.99"
207,"gertrude.castillo@sakilacustomer.org",15415,"11.99"
217,"agnes.bishop@sakilacustomer.org",3973,"11.99"
393,"philip.causey@sakilacustomer.org",14759,"11.99"
191,"jeanette.greene@sakilacustomer.org",14763,"11.99"
155,"gail.knight@sakilacustomer.org",14759,"11.99"
331,"eric.robert@sakilacustomer.org",4383,"11.99"
167,"sally.pierce@sakilacustomer.org",14763,"11.99"
203,"tara.ryan@sakilacustomer.org",8831,"11.99"
439,"alexander.fennell@sakilacustomer.org",14759,"11.99"
255,"irma.pearson@sakilacustomer.org",16040,"11.99"
495,"charlie.bess@sakilacustomer.org",14759,"11.99"
75,"tammy.sanders@sakilacustomer.org",16040,"11.99"
111,"carmen.owens@sakilacustomer.org",4383,"11.99"
393,"philip.causey@sakilacustomer.org",15415,"11.99"
374,"jeremy.hurtado@sakilacustomer.org",14759,"11.99"
269,"cassandra.walters@sakilacustomer.org",11479,"11.99"
253,"terry.carlson@sakilacustomer.org",16040,"11.99"
47,"frances.parker@sakilacustomer.org",16040,"11.99"
336,"joshua.mark@sakilacustomer.org",16040,"11.99"
386,"todd.tan@sakilacustomer.org",3973,"11.99"
382,"victor.barkley@sakilacustomer.org",4383,"11.99"
366,"brandon.huey@sakilacustomer.org",14759,"11.99"
501,"ruben.geary@sakilacustomer.org",11479,"11.99"
271,"penny.neal@sakilacustomer.org",11479,"11.99"
513,"duane.tubbs@sakilacustomer.org",4383,"11.99"
